Post_ID,Timestamp,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate_Provided,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,Engagement_Rate,Is_Outlier_Engagement,Like_Rate,Comment_Rate,Share_Rate,Save_Rate,Save_to_Share_Ratio,Comment_to_Like_Ratio,Month,Year
POST_04552,2024-01-01 01:42:00,Instagram,Carousel,Business,8287,247,51,29502,20,223080,3.85,1,Monday,16,985,Positive,Macro,True,False,29.167514066842926,False,28.089621042641177,0.8372313741441259,0.1728696359568843,0.06779201410073893,0.39215686274509803,0.029805719802099673,1,2024
POST_02171,2024-01-01 05:05:00,LinkedIn,Document,Health,1711,27,247,24538,139,312647,0.63,5,Monday,9,627,Negative,Macro,False,True,8.655962181106855,False,6.97285842366941,0.11003341755644308,1.0066020050533866,0.5664683348276144,0.562753036437247,0.015780245470485097,1,2024
POST_00210,2024-01-01 09:18:00,Instagram,Carousel,Food,1527,191,7,5460,359,220737,0.78,9,Monday,27,79,Positive,Macro,True,True,38.16849816849817,False,27.967032967032967,3.498168498168498,0.1282051282051282,6.575091575091576,51.285714285714285,0.12508185985592665,1,2024
POST_01548,2024-01-01 10:58:00,Facebook,Video,Sports,535,178,433,68246,740,428935,0.27,10,Monday,17,554,Neutral,Macro,True,False,2.763531928611201,False,0.7839287284236438,0.260821147026932,0.6344694194531547,1.08431263370747,1.7090069284064666,0.33271028037383177,1,2024
POST_01350,2024-01-01 13:12:00,Instagram,Photo,Fitness,9706,35,118,25782,611,64384,15.31,13,Monday,5,1136,Positive,Mid-tier,True,False,40.609727717011864,False,37.646419982933836,0.1357536265611667,0.457683655263362,2.3698704522535103,5.177966101694915,0.0036060168967648877,1,2024
POST_01582,2024-01-02 01:24:00,Twitter,Poll,Sports,3767,83,522,59434,242,421886,1.04,1,Tuesday,19,1611,Negative,Macro,True,False,7.7632331662011635,False,6.33812295992193,0.13965070498367937,0.878285156644345,0.4071743446512097,0.46360153256704983,0.022033448367401114,1,2024
POST_02656,2024-01-02 03:01:00,Twitter,Poll,Lifestyle,1558,71,676,45929,92,259275,0.89,3,Tuesday,25,1406,Negative,Macro,True,False,5.218924862287444,False,3.3921922968059395,0.15458642687626556,1.471836965751486,0.20030917285375252,0.13609467455621302,0.045571245186136075,1,2024
POST_00196,2024-01-02 16:59:00,Twitter,Thread,Education,599,222,787,68904,314,30966,5.19,16,Tuesday,1,399,Negative,Micro,True,False,2.7893881342157205,False,0.8693254382909555,0.3221873911529084,1.1421688145826077,0.4557064901892488,0.39898348157560354,0.37061769616026713,1,2024
POST_00749,2024-01-02 19:22:00,YouTube,Live,Food,6062,754,540,947740,1640,395761,1.86,19,Tuesday,22,109,Neutral,Macro,False,False,0.9492054782957351,False,0.6396269018929243,0.07955768459704138,0.05697765209867685,0.17304323970709265,3.037037037037037,0.12438139227977565,1,2024
POST_03049,2024-01-02 20:04:00,Twitter,Thread,Travel,597,22,339,67556,74,478824,0.2,20,Tuesday,22,1445,Neutral,Macro,True,True,1.5276215288057315,False,0.883711291373083,0.03256557522647877,0.5018059091716501,0.1095387530345195,0.2182890855457227,0.03685092127303183,1,2024
